Id,Label,Interest,clustering,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,eigencentrality
alicetvz,1,Survival,0.000211,0.203419,4367,0,4367,4736,0,4736,0,0,0,0,0,1,1
znebtv,2,Survival,0.000636,0.102709,2447,5,2452,2647,5,2652,2,0.857143,0.916667,0.00019,0,4,0.562789
sohowtf,3,Survival,0.000563,0.089537,2721,6,2727,2898,6,2904,1,1,1,0.000249,0,4,0.614725
martiiex,4,Survival,0.001254,0.059859,1474,2,1476,1609,2,1611,3,0.545455,0.638889,0.000037,0,4,0.352116
staynarosz,5,Survival,0.001646,0.044939,640,0,640,690,0,690,0,0,0,0,0,0,0.167685
capta1njackz,6,Survival,0.001294,0.044542,478,0,478,489,0,489,0,0,0,0,0,2,0.131632
sohowtf_jr,7,Survival,0.008824,0.013946,85,0,85,95,0,95,0,0,0,0,0,3,0.032371
bestzasp,8,Survival,0,0.003405,195,0,195,212,0,212,0,0,0,0,0,25,0.043163
t0ffylive,9,Survival,0,0.000986,23,0,23,27,0,27,0,0,0,0,0,2181,0.005089
systemz77,10,Survival,0,0.000406,11,0,11,11,0,11,0,0,0,0,0,438,0.002434
uooukz,11,Survival,0.096838,0.000397,19,4,23,20,4,24,2,0.7,0.785714,0.000001,0,112,0.004204
icemanzzz,12,Survival,0,0.000334,10,0,10,11,0,11,0,0,0,0,0,397,0.002213
oassassinxu,13,Survival,0.097222,0.000288,6,3,9,6,3,9,2,0.636364,0.714286,0.000001,0,459,0.001328
friendlys_,14,Survival,0.069444,0.000277,5,4,9,5,4,9,2,0.666667,0.75,0.000001,0,248,0.001111
tizhs,15,Survival,0,0.000275,7,0,7,7,0,7,0,0,0,0,0,804,0.001549
solarx36,16,Survival,0.069444,0.000233,8,1,9,8,1,9,2,0.538462,0.571429,0,0,1117,0.00177
plaxnis,17,Survival,0,0.000232,4,0,4,4,0,4,0,0,0,0,0,1395,0.000885
blue0skyx,18,Survival,0.19697,0.000225,7,5,12,7,5,12,2,0.777778,0.857143,0,0,570,0.001549
deadbydaylightonline,19,Survival,0,0.000206,4,0,4,5,0,5,0,0,0,0,0,1697,0.000885
nongfrong__,20,Survival,0,0.000192,3,2,5,3,2,5,1,1,1,0,0,1779,0.000664
mixky_,21,Survival,0,0.000181,4,0,4,4,0,4,0,0,0,0,0,1671,0.000885
newborn007,22,Survival,0,0.000177,3,0,3,3,0,3,0,0,0,0,0,949,0.000664
kumpaiboy,23,Survival,0,0.000175,3,0,3,3,0,3,0,0,0,0,0,499,0.000664
neociety,24,Survival,0,0.000168,4,0,4,4,0,4,0,0,0,0,0,1967,0.000885
topi_us,25,Survival,0,0.000166,3,0,3,3,0,3,0,0,0,0,0,4167,0.000664
channelatibadee,26,Survival,0,0.000165,6,0,6,6,0,6,0,0,0,0,0,577,0.001328
biw_jirayu,27,Survival,0,0.000158,4,0,4,5,0,5,0,0,0,0,0,352,0.000885
